0,0,H0
1,-2147483348,H8000012C
2,1280,H500
3,0,H0
4,0,H0
5,2000,H7D0
6,2000,H7D0
7,0,H0
8,0,H0
9,32767,H7FFF
10,0,H0
11,0,H0
12,0,H0
13,32767,H7FFF
14,0,H0
15,0,H0
16,0,H0
17,32767,H7FFF
18,0,H0
19,0,H0
20,0,H0
21,32767,H7FFF
22,0,H0
23,0,H0
24,0,H0
25,32767,H7FFF
26,0,H0
27,0,H0
28,0,H0
29,32767,H7FFF
30,0,H0
31,0,H0
32,0,H0
33,32767,H7FFF
34,0,H0
35,0,H0
36,0,H0
37,32767,H7FFF
38,0,H0
39,0,H0
40,0,H0
41,32767,H7FFF
42,0,H0
43,0,H0
44,0,H0
45,32767,H7FFF
46,0,H0
47,0,H0
48,0,H0
49,32767,H7FFF
50,0,H0
51,0,H0
52,0,H0
53,32767,H7FFF
54,0,H0
55,0,H0
56,0,H0
57,32767,H7FFF
58,0,H0
59,-1,HFFFFFFFF
60,0,H0
61,32767,H7FFF
62,0,H0
63,0,H0
64,0,H0
65,32767,H7FFF
66,0,H0
67,0,H0
68,0,H0
69,32767,H7FFF
70,0,H0
71,0,H0
72,0,H0
73,32767,H7FFF
74,0,H0
75,0,H0
76,0,H0
77,32767,H7FFF
78,0,H0
79,0,H0
80,161,HA1
81,1,H1
82,1000,H3E8
83,1000,H3E8
84,-1000,HFFFFFC18
85,-1000,HFFFFFC18
86,49,H31
87,0,H0
88,0,H0
89,0,H0
90,-1073738824,HC0000BB8
91,3000,HBB8
92,5000,H1388
93,0,H0
94,32767,H7FFF
95,0,H0
96,0,H0
97,32767,H7FFF
98,0,H0
99,-1,HFFFFFFFF
100,-1,HFFFFFFFF
101,-1,HFFFFFFFF
102,-1,HFFFFFFFF
103,-1,HFFFFFFFF
104,-1,HFFFFFFFF
105,-1,HFFFFFFFF
106,-1,HFFFFFFFF
107,-1,HFFFFFFFF
108,-1,HFFFFFFFF
109,-1,HFFFFFFFF
110,0,H0
111,-1,HFFFFFFFF
112,-1,HFFFFFFFF
113,-1,HFFFFFFFF
114,-1,HFFFFFFFF
115,-1,HFFFFFFFF
116,-1,HFFFFFFFF
117,-1,HFFFFFFFF
118,-1,HFFFFFFFF
119,-1,HFFFFFFFF
120,-1,HFFFFFFFF
121,-1,HFFFFFFFF
122,-1,HFFFFFFFF
123,-1,HFFFFFFFF
124,-1,HFFFFFFFF
125,-1,HFFFFFFFF
126,-1,HFFFFFFFF
127,-1,HFFFFFFFF
128,-1,HFFFFFFFF
129,-1,HFFFFFFFF
130,-1,HFFFFFFFF
131,-1,HFFFFFFFF
132,-1,HFFFFFFFF
133,-1,HFFFFFFFF
134,-1,HFFFFFFFF
135,-1,HFFFFFFFF
136,-1,HFFFFFFFF
137,-1,HFFFFFFFF
138,-1,HFFFFFFFF
139,-1,HFFFFFFFF
140,-1,HFFFFFFFF
141,-1,HFFFFFFFF
142,-1,HFFFFFFFF
143,-1,HFFFFFFFF
144,-1,HFFFFFFFF
145,-1,HFFFFFFFF
146,-1,HFFFFFFFF
147,-1,HFFFFFFFF
148,-1,HFFFFFFFF
149,-1,HFFFFFFFF
150,-1,HFFFFFFFF
151,-1,HFFFFFFFF
152,-1,HFFFFFFFF
153,-1,HFFFFFFFF
154,-1,HFFFFFFFF
155,-1,HFFFFFFFF
156,-1,HFFFFFFFF
157,-1,HFFFFFFFF
158,-1,HFFFFFFFF
159,-1,HFFFFFFFF
160,-1,HFFFFFFFF
161,-1,HFFFFFFFF
162,-1,HFFFFFFFF
163,-1,HFFFFFFFF
164,-1,HFFFFFFFF
165,-1,HFFFFFFFF
166,-1,HFFFFFFFF
167,-1,HFFFFFFFF
168,-1,HFFFFFFFF
169,-1,HFFFFFFFF
170,-1,HFFFFFFFF
171,-1,HFFFFFFFF
172,-1,HFFFFFFFF
