SQ 1 MAX POS LAST SH (MM),23.0
SQ 2 MAX POS LAST SH (MM),23.4
SQ 3 MAX POS LAST SH (MM),23.7
SQ 4 MAX POS LAST SH (MM),24.2
SQ 5 MAX POS LAST SH (MM),24.5
SQ 6 MAX POS LAST SH (MM),25.6
SQ 7 MAX POS LAST SH (MM),26.1
SQ 8 MAX POS LAST SH (MM),26.3
FURNACE METAL TEMP,200
CHANNEL 2 TEMP,240
CHANNEL 3 TEMP,250
CHANNEL 4 TEMP,260
FIXED DIE CAVITY 1 TEMP,190
FIXED DIE CAVITY 2 TEMP,196
CHANNEL 7 TEMP,265
CHANNEL 8 TEMP,266
