0,None,1.0000000000,1.0000000000
1,UBE 880T,72.510000000,-41.34000000
2,UBE 800T (FORD),62.340000000,-34.91000000
3,UBE 550T,56.670000000,-29.24000000
4,UBE 380T,42.180000000,-20.03000000
5,UBE 800T (CM),402.12000000,-225.4100000
6,UBE 800T (MM),40212.000000,-22541.00000
7,ALUMAX WORK,1.0000000000,0.0
8,Pre-Impact Work,1.0000000000,1.0000000000
50,Metal Pressure,1.0000000000,1.0000000000
